ToxPi Score,HClust Group,KMeans Group,Name,Source,Infection Rate: Transmissible Cases!20!0xcc3333ff,Infection Rate: Disease Spread!5!0xe64d4dff,Pop Concentration: Pop Mobility!10!0x57b757ff,Pop Concentration: Residential Density!5!0x5ced5cff,Intervention: Vaccines!15!0x4258c9ff,Intervention: Social Distancing!5!0x6079f7ff,Intervention: Testing!5!0x7d90f3ff,Health & Environment: Hospital Beds!10!0x6b0b9eff,Health & Environment: Hospital Ventilators!10!0x7e24aeff,Health & Environment: Pop Demographics!3!0x933fbfff,Health & Environment: Air Pollution!3!0xa95ad2ff,Health & Environment: Age Distribution!3!0xc177e7ff,Health & Environment: Co-morbidities!3!0xdb95feff,Health & Environment: Health Disparities!3!0xe1a6ffff
0.499594315,7,10,"South Dakota, Lawrence","44.3592,-103.7929",0.566020403,0.548876368,0.500381621,0.8625,0.752008032,0.575,0.435332789,0.559633028,0,0.409334996,0.119760479,0.620799731,0.259780686,0.140394327
0.479674405,7,8,"South Dakota, Lincoln","43.2784,-96.7204",0.681809685,0.620260256,0.526604505,0.0646,0.745983936,0.675,0.382300179,0.385321101,0.131,0.360967573,0.317365269,0.41592556,0.210921903,0.028629542
0.486374251,7,3,"South Dakota, Lyman","43.8952,-99.852",0.677700049,0.596411097,0.359041975,0.6944,0.682730924,0.5,0.340532498,0.32733945,0.0018,0.662524198,0.155688623,0.519104441,0.529856682,0.56746873
0.40283156,9,9,"South Dakota, Marshall","45.7587,-97.5986",0.523677885,0.576592486,0.394974252,0.1433,0.682730924,0.5,0.450738014,0.220183486,0.0171,0.502546286,0.143712575,0.618940916,0.264502186,0.101266224
0.416271866,7,9,"South Dakota, McCook","43.6743,-97.3686",0.510926049,0.464583147,0.384320295,0.1882,0.717871486,0.5,0.394172412,0.327981651,0.0554,0.359722835,0.251497006,0.593892765,0.294874328,0.242945076
0.285029404,5,7,"South Dakota, McPherson","45.7663,-99.2212",0,0,0.344120185,0.1305,0.944779116,0.25,0.491181469,0.100917431,0.0087,0.179531042,0.137724551,0.761255236,0.290143579,0.44316899
0.411072407,9,5,"South Dakota, Meade","44.5668,-102.7163",0.427835669,0.446245543,0.458698605,0.3766,0.728915663,0.575,0.44293159,0.321100917,0,0.517542875,0.149700599,0.488663708,0.262291048,0.120105596
0.474425532,9,3,"South Dakota, Mellette","43.5808,-100.7563",0.523892319,0.49571791,0.341643307,0.8711,0.800200803,0,0.438662901,0.378256881,0.0107,0.614886795,0.119760479,0.509231233,0.707241726,0.924976059
0.416767759,9,9,"South Dakota, Miner","44.022,-97.6099",0.574758956,0.533859591,0.377398453,0.092,0.645582329,0.5,0.615269081,0.311834862,0.0077,0.32754311,0.209580838,0.638895121,0.257173928,0.174435441
0.571249777,2,4,"South Dakota, Minnehaha","43.6744,-96.7911",0.702112928,0.624267147,0.620914864,0.6765,0.659638554,0.825,0.328842919,0.623853211,0.31,0.625850264,0.299401198,0.440780889,0.275968381,0.147135841
0.477719324,7,9,"South Dakota, Moody","44.0227,-96.6708",0.633725175,0.633253056,0.440589136,0.3155,0.714859438,0.5,0.437860768,0.431192661,0,0.627326148,0.245508982,0.579673914,0.351181941,0.270859082
0.476142553,9,3,"South Dakota, Oglala Lakota","43.3375,-102.5555",0.471073413,0.425779946,0.432893279,0.9882,0.708835341,0.25,0.366066755,0.431192661,0,0.66438196,0.089820359,0.216877393,0.979830473,0.972144491
0.561395705,7,6,"South Dakota, Pennington","44.0026,-102.8241",0.58815549,0.560855814,0.535284524,0.8118,0.760040161,0.575,0.438662901,0.752293578,0.28,0.599092096,0.149700599,0.551735804,0.283806182,0.205159875
0.383646017,9,5,"South Dakota, Perkins","45.4905,-102.4756",0.359344584,0.3510877,0.307430863,0.3954,0.843373494,0.075,0.511427545,0.40440367,0.0058,0.356141235,0.113772455,0.667774075,0.287759012,0.136615238
0.421164966,9,9,"South Dakota, Potter","45.0658,-99.955",0.575183817,0.49516368,0.376305165,0.1611,0.700803213,0.325,0.380016435,0.486238532,0,0.362305723,0.143712575,0.743007937,0.214598068,0.092687184
0.459740578,7,3,"South Dakota, Roberts","45.6298,-96.9467",0.583752807,0.547519085,0.426332872,0.5059,0.682730924,0.325,0.344474559,0.366972477,0,0.659234028,0.167664671,0.601780717,0.522479396,0.552346559
0.358799018,9,5,"South Dakota, Sanborn","44.0235,-98.091",0.38826229,0.356468738,0.372686299,0.0392,0.737951807,0.5,0.45273414,0.245688073,0.0013,0.110628428,0.19760479,0.595880459,0.341342969,0.123416947
0.392449376,9,5,"South Dakota, Spink","44.9384,-98.3463",0.451287564,0.426361601,0.415915983,0.2767,0.772088353,0.325,0.422942539,0.211009174,0,0.401929101,0.173652695,0.622649322,0.410817571,0.095480898
0.427173415,9,9,"South Dakota, Stanley","44.4138,-100.7349",0.571020748,0.553755533,0.414200181,0.241,0.639558233,0.5,0.428962236,0.442752294,0.012,0.491932271,0.131736527,0.58583425,0.235469288,0.020174158
0.421677032,7,9,"South Dakota, Sully","44.7157,-100.1278",0.647309213,0.64047038,0.252080881,0.0573,0.813253012,0,0.563883478,0.391559633,0.003,0.359209789,0.143712575,0.662837688,0.217533824,0.032722556
0.478495294,10,2,"South Dakota, Todd","43.1934,-100.7196",0.334366879,0.330669183,0.443918591,0.9472,0.739959839,0.25,0.418568746,0.733944954,0,0.713556026,0.131736527,0.253393888,0.859491164,0.892478773
0.448911351,9,9,"South Dakota, Tripp","43.3446,-99.8855",0.512856655,0.474008417,0.444401586,0.2706,0.802208835,0.5,0.422109013,0.376146789,0,0.529001456,0.149700599,0.656152454,0.38865126,0.297093736
0.439672418,7,9,"South Dakota, Turner","43.3109,-97.1487",0.645965937,0.595469782,0.413852172,0.1057,0.766064257,0.5,0.457220112,0.137614679,0.0793,0.305797027,0.281437126,0.624489779,0.337750207,0.102972949
