ToxPi Score,HClust Group,KMeans Group,Name,Source,Infection Rate: Transmissible Cases!20!0xcc3333ff,Infection Rate: Disease Spread!5!0xe64d4dff,Pop Concentration: Pop Mobility!10!0x57b757ff,Pop Concentration: Residential Density!5!0x5ced5cff,Intervention: Vaccines!15!0x4258c9ff,Intervention: Social Distancing!5!0x6079f7ff,Intervention: Testing!5!0x7d90f3ff,Health & Environment: Hospital Beds!10!0x6b0b9eff,Health & Environment: Hospital Ventilators!10!0x7e24aeff,Health & Environment: Pop Demographics!3!0x933fbfff,Health & Environment: Air Pollution!3!0xa95ad2ff,Health & Environment: Age Distribution!3!0xc177e7ff,Health & Environment: Co-morbidities!3!0xdb95feff,Health & Environment: Health Disparities!3!0xe1a6ffff
0.561872466,7,4,"North Carolina, Union","34.9896,-80.5296",0.719996994,0.708373781,0.607452175,0.0888,0.779116466,0.825,0.339292691,0.688073394,0.16,0.54352879,0.473053892,0.42856039,0.263238535,0.204275629
0.597652962,7,10,"North Carolina, Vance","36.3688,-78.4067",0.658189709,0.640657335,0.614945927,0.9172,0.791164659,0.675,0.296378045,0.587155963,0.18,0.712724819,0.419161677,0.567039084,0.449915167,0.606771356
0.566499183,7,4,"North Carolina, Wake","35.7888,-78.6525",0.651176085,0.681861486,0.717594756,0.4384,0.679718876,0.825,0.294423729,0.770642202,0.2,0.613810559,0.479041916,0.392728361,0.167861165,0.129830608
0.55712846,7,10,"North Carolina, Warren","36.3973,-78.1065",0.597244879,0.613498937,0.4724428,0.795,0.824297189,0.325,0.358850265,0.604036697,0.1208,0.884882291,0.401197605,0.680626791,0.40830068,0.614642491
0.502058781,7,3,"North Carolina, Washington","35.8381,-76.573",0.583501002,0.601923034,0.525934746,0.5033,0.75502008,0.5,0.370291787,0.348623853,0,0.714844538,0.335329341,0.667774075,0.52175475,0.622762876
0.560494401,7,10,"North Carolina, Watauga","36.231,-81.7003",0.681486076,0.706151854,0.642348253,0.822,0.675702811,0.5,0.378056558,0.651376147,0.19,0.320360366,0.317365269,0.516660551,0.1625799,0.488330701
0.555080128,7,3,"North Carolina, Wayne","35.3644,-78.0003",0.624776118,0.639636115,0.604658995,0.9427,0.771084337,0.675,0.298367933,0.357798165,0.1,0.660494964,0.461077844,0.526341402,0.460073166,0.573057126
0.539938553,7,1,"North Carolina, Wilkes","36.2084,-81.1623",0.606725263,0.612904293,0.543457381,0.4578,0.779116466,0.575,0.378149093,0.366972477,0.36,0.405640915,0.395209581,0.62814365,0.473600836,0.547084198
0.666420421,2,6,"North Carolina, Wilson","35.7063,-77.918",0.714678536,0.682673184,0.63025077,0.8644,0.763052209,0.675,0.325132523,0.752293578,0.63,0.653868098,0.461077844,0.558371442,0.413865837,0.593222201
0.527293021,7,1,"North Carolina, Yadkin","36.1622,-80.6624",0.637509089,0.627896229,0.557896004,0.4174,0.731927711,0.675,0.341124719,0.482752294,0.1345,0.424391238,0.413173653,0.601780717,0.398298719,0.476227998
0.543783535,7,1,"North Carolina, Yancey","35.9008,-82.3124",0.644922282,0.65902177,0.542560535,0.2601,0.719879518,0.675,0.41168873,0.609908257,0.2203,0.315245814,0.335329341,0.699111164,0.381802355,0.576836216
