ToxPi Score,HClust Group,KMeans Group,FIPS,Name,Source,Infection Rate: Transmissible Cases!20!0xcc3333ff,Infection Rate: Disease Spread!5!0xe64d4dff,Pop Concentration: Pop Mobility!10!0x57b757ff,Pop Concentration: Residential Density!5!0x5ced5cff,Intervention: Vaccines!15!0x4258c9ff,Intervention: Social Distancing!5!0x6079f7ff,Intervention: Testing!5!0x7d90f3ff,Health & Environment: Hospital Beds!10!0x6b0b9eff,Health & Environment: Hospital Ventilators!10!0x7e24aeff,Health & Environment: Pop Demographics!3!0x933fbfff,Health & Environment: Air Pollution!3!0xa95ad2ff,Health & Environment: Age Distribution!3!0xc177e7ff,Health & Environment: Co-morbidities!3!0xdb95feff,Health & Environment: Health Disparities!3!0xe1a6ffff
0.513160083,8,8,37057,"North Carolina, Davidson","-80.2126,35.7912",0.46206889,0.4753814,0.62232362,0.5024,0.700400802,1,0.517274435,0.490384615,0.05,0.542247329,0.467065868,0.569174859,0.409587897,0.500676356
0.476235977,9,7,37059,"North Carolina, Davie","-80.545,35.931",0.374252879,0.391008604,0.555782757,0.3356,0.627254509,1,0.547491768,0.567307692,0.1198,0.491872329,0.443113772,0.615195238,0.427315,0.332609037
0.589567192,10,3,37061,"North Carolina, Duplin","-77.9314,34.9345",0.46734363,0.472289082,0.517932102,0.767,0.754509018,0.825,0.549509319,0.932692308,0.2,0.68486154,0.413173653,0.564890998,0.523939679,0.718792537
0.570109083,9,7,37063,"North Carolina, Durham","-78.8761,36.0364",0.407497097,0.453597391,0.735304004,0.9019,0.51503006,1,0.451133076,0.855769231,0.49,0.682557769,0.45508982,0.431653286,0.194439122,0.333470272
0.611649577,10,3,37065,"North Carolina, Edgecombe","-77.5944,35.9123",0.473747751,0.476678896,0.575985442,0.9089,0.709418838,0.825,0.474787472,0.913461538,0.41,0.710906546,0.431137725,0.587865273,0.532676104,0.613220503
0.556405858,10,7,37067,"North Carolina, Forsyth","-80.2546,36.1286",0.423314705,0.442474971,0.714939053,0.7835,0.600200401,1,0.519125478,0.75,0.29,0.645319019,0.383233533,0.516660551,0.359114367,0.394470174
0.441942472,3,1,37069,"North Carolina, Franklin","-78.2871,36.0815",0.071346366,0.066704897,0.557009508,0.6052,0.686372745,1,0.509877998,0.626153846,0.25,0.651512503,0.45508982,0.538099217,0.359075053,0.406616961
0.577498062,10,3,37071,"North Carolina, Gaston","-81.1748,35.2937",0.506949441,0.494922848,0.67607917,0.5661,0.706412826,1,0.498846699,0.807692308,0.23,0.570540073,0.473053892,0.526341402,0.329229415,0.460022714
0.48044818,8,4,37073,"North Carolina, Gates","-76.6975,36.4467",0.431392581,0.512444149,0.438198631,0.1372,0.694388778,0.5,0.592963017,0.715192308,0.1463,0.624040296,0.347305389,0.601780717,0.500826148,0.356443957
0.551391041,8,9,37075,"North Carolina, Graham","-83.8337,35.3507",0.697244943,0.761459409,0.501512433,0.3321,0.685370741,0.675,0.580833697,0.580576923,0.0774,0.471747938,0.323353293,0.675858813,0.402699313,0.650268974
0.353547266,3,1,37077,"North Carolina, Granville","-78.6518,36.3034",0,0,0.562522145,0.517,0.603206413,0.825,0.419709721,0.461538462,0,0.661489719,0.449101796,0.540406913,0.364379531,0.403780615
0.574515646,10,3,37079,"North Carolina, Greene","-77.6758,35.4854",0.504968847,0.501760959,0.521132105,0.9793,0.723446894,0.75,0.411728457,0.679038462,0.2888,0.767033811,0.443113772,0.516660551,0.352950152,0.719185549
0.544718472,10,7,37081,"North Carolina, Guilford","-79.7882,36.0796",0.388883699,0.416929295,0.70782549,0.7619,0.598196393,1,0.481826184,0.692307692,0.36,0.660419906,0.449101796,0.499089333,0.317897881,0.345697115
0.509001699,8,8,37083,"North Carolina, Halifax","-77.6556,36.2567",0.388009875,0.384021977,0.548775668,0.8918,0.660320641,0.825,0.492019747,0.519230769,0.02,0.857758603,0.407185629,0.609505176,0.60451994,0.651327259
0.568169988,10,3,37085,"North Carolina, Harnett","-78.8724,35.3673",0.501780738,0.536546221,0.587703169,0.5982,0.758517034,1,0.557739593,0.769230769,0.09,0.689866,0.473053892,0.422296515,0.3784054,0.52699821
0.470606198,9,7,37087,"North Carolina, Haywood","-82.982,35.5527",0.369092387,0.430763885,0.603937659,0.1872,0.594188377,1,0.65633285,0.605769231,0.12,0.33615488,0.341317365,0.688440322,0.367655793,0.298896261
0.461157843,9,10,37089,"North Carolina, Henderson","-82.4767,35.3379",0.34903309,0.380112171,0.636615447,0.4167,0.608216433,1,0.546585824,0.490384615,0.11,0.427712251,0.371257485,0.703592483,0.25272819,0.219671394
0.517080992,3,4,37091,"North Carolina, Hertford","-76.981,36.3608",0.2250751,0.249774471,0.486942751,0.9828,0.808617234,0.75,0.563836393,0.75,0.11,0.762760247,0.365269461,0.595880459,0.586913311,0.647795483
0.528692641,8,6,37093,"North Carolina, Hoke","-79.2365,35.0189",0.517204547,0.55302939,0.550438671,0.5129,0.819639279,1,0.562798445,0.346153846,0,0.892172763,0.443113772,0.325461822,0.423867259,0.622390938
0.350560133,5,1,37095,"North Carolina, Hyde","-76.1518,35.4202",0,0,0.370042309,0.581,0.514028056,0.5,0.442659775,0.69625,0.1129,0.652533796,0.28742515,0.544979876,0.451497198,0.708687473
0.51659994,10,3,37097,"North Carolina, Iredell","-80.8743,35.8095",0.507950844,0.514592809,0.62495238,0.3069,0.681362725,1,0.54408507,0.605769231,0.08,0.530259439,0.473053892,0.516660551,0.323211148,0.271958546
