ToxPi Score,HClust Group,KMeans Group,Name,FIPS,Source,Infection Rate: Transmissible Cases!25!0xcc3333ff,Infection Rate: Disease Spread!5!0xe64d4dff,Pop Concentration: Pop Mobility!10!0x57b757ff,Pop Concentration: Residential Density!10!0x5ced5cff,Intervention: Social Distancing!10!0x4258c9ff,Intervention: Testing!10!0x6079f7ff,Health & Environment: Pop Demographics!10!0x6b0b9eff,Health & Environment: Air Pollution!10!0x8e26c4ff,Health & Environment: Age Distribution!10!0x9a42c8ff,Health & Environment: Co-morbidities!10!0xb460e0ff,Health & Environment: Health Disparities!10!0xc885ecff,Health & Environment: Hospital Beds!5!0xdeb9f1ff
0.553634049,8,6,"North Carolina, Lee",37105,"-79.1757,35.4762",0.505008848,0.015051903,0.621621693,0.6447,1,0.573499128,0.654169261,0.449101796,0.531089133,0.376241426,0.56239034,0.47512954
0.573597346,8,8,"North Carolina, Lenoir",37107,"-77.6425,35.2403",0.483871849,0.011540479,0.59608582,0.9672,0.825,0.573499128,0.661191602,0.437125749,0.601780717,0.466630384,0.638631709,0.374743714
0.508734533,10,10,"North Carolina, Lincoln",37109,"-81.2174,35.4851",0.598782828,0.027856025,0.596267268,0.1939,1,0.573499128,0.440243205,0.467065868,0.556172664,0.376729206,0.37361209,0.541614295
0.489830618,10,1,"North Carolina, Macon",37111,"-83.417,35.1487",0.647877096,0.05959806,0.538590816,0.2232,0.75,0.573499128,0.359210761,0.335329341,0.745670033,0.343021655,0.37528999,0.459158453
0.461079299,10,2,"North Carolina, Madison",37113,"-82.7135,35.854",0.582022939,0.039551747,0.510286538,0.5161,0.675,0.573499128,0.328306293,0.347305389,0.63712461,0.258339652,0.442696407,0
0.502742139,10,2,"North Carolina, Martin",37115,"-77.1086,35.8433",0.55151471,0.021818182,0.519976792,0.1955,0.675,0.573499128,0.637653477,0.353293413,0.651058637,0.4922118,0.561586634,0.469601985
0.525757769,8,8,"North Carolina, McDowell",37117,"-82.0482,35.6774",0.507797938,0.012925969,0.563943166,0.7539,0.75,0.573499128,0.460563616,0.371257485,0.609505176,0.441819589,0.511173463,0.520705313
0.527152163,10,6,"North Carolina, Mecklenburg",37119,"-80.8318,35.2447",0.607167973,0.035124044,0.755716674,0.4616,1,0.573499128,0.655122908,0.497005988,0.382326985,0.223857483,0.276980376,0.455621084
0.466629127,10,2,"North Carolina, Mitchell",37121,"-82.1582,36.0106",0.575248996,0.028910304,0.536439285,0.3171,0.675,0.573499128,0.273634963,0.329341317,0.686890666,0.359664412,0.415497452,0.426438448
0.54497035,8,8,"North Carolina, Montgomery",37123,"-79.9042,35.3316",0.534884833,0.015360983,0.532783871,0.8246,0.675,0.573499128,0.633445843,0.401197605,0.603726893,0.409695553,0.549762855,0.527050108
0.482004762,10,10,"North Carolina, Moore",37125,"-79.4847,35.3089",0.513990284,0.017636066,0.586893062,0.3372,0.825,0.573499128,0.579791209,0.443113772,0.682202657,0.266672202,0.23640679,0.400973912
0.583842969,8,6,"North Carolina, Nash",37127,"-77.9842,35.9658",0.629527943,0.03566542,0.608609261,0.8688,0.825,0.573499128,0.701642785,0.449101796,0.564890998,0.49348283,0.420624771,0.401465957
0.526219798,7,6,"North Carolina, New Hanover",37129,"-77.8708,34.2576",0.5886206,0.036982491,0.721769608,0.6205,1,0.573499128,0.542926834,0.323353293,0.551735804,0.245631519,0.299793466,0.416990164
0.533172016,8,8,"North Carolina, Northampton",37131,"-77.3977,36.4174",0.534644504,0.019618529,0.504845303,0.6294,0.675,0.573499128,0.691933929,0.395209581,0.691520438,0.520646857,0.636174447,0
0.540437041,7,6,"North Carolina, Onslow",37133,"-77.4291,34.7261",0.577039078,0.032782767,0.623714438,0.8017,1,0.573499128,0.602291937,0.389221557,0.308708808,0.313029817,0.409119277,0.550377956
0.502273612,7,6,"North Carolina, Orange",37135,"-79.1217,36.0609",0.504034353,0.024707726,0.678248498,0.8367,1,0.573499128,0.536443344,0.461077844,0.452613368,0.145844545,0.151118158,0.340871025
0.523528072,5,2,"North Carolina, Pamlico",37137,"-76.6656,35.1525",0.62113193,0.044504995,0.511382035,0.8551,0.5,0.573499128,0.606692396,0.335329341,0.745670033,0.420654261,0.420691383,0
